# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4096.7091 9.1966e+13 9.1966e+13
4096.7197 9.1966e+13 9.1966e+13
4096.7302 9.1967e+13 9.1967e+13
4096.7408 9.1967e+13 9.1967e+13
4096.7514 9.1968e+13 9.1968e+13
4096.7619 9.1968e+13 9.1968e+13
4096.7725 9.1969e+13 9.1969e+13
4096.7831 9.1969e+13 9.1969e+13
4096.7936 9.1970e+13 9.1970e+13
4096.8042 9.1970e+13 9.1970e+13
4096.8147 9.1971e+13 9.1971e+13
4096.8253 9.1971e+13 9.1971e+13
4096.8359 9.1972e+13 9.1972e+13
4096.8464 9.1972e+13 9.1972e+13
4096.8570 9.1973e+13 9.1973e+13
4096.8676 9.1973e+13 9.1973e+13
4096.8781 9.1974e+13 9.1974e+13
4096.8887 9.1974e+13 9.1974e+13
4096.8992 9.1975e+13 9.1975e+13
4096.9098 9.1975e+13 9.1975e+13
4096.9204 9.1976e+13 9.1976e+13
4096.9309 9.1976e+13 9.1976e+13
4096.9415 9.1977e+13 9.1977e+13
4096.9521 9.1977e+13 9.1977e+13
4096.9626 9.1978e+13 9.1977e+13
4096.9732 9.1978e+13 9.1978e+13
4096.9837 9.1979e+13 9.1978e+13
4096.9943 9.1979e+13 9.1979e+13
4097.0049 9.1979e+13 9.1979e+13
4097.0154 9.1980e+13 9.1980e+13
4097.0260 9.1980e+13 9.1980e+13
4097.0366 9.1981e+13 9.1981e+13
4097.0471 9.1981e+13 9.1981e+13
4097.0577 9.1982e+13 9.1982e+13
4097.0683 9.1982e+13 9.1982e+13
4097.0788 9.1983e+13 9.1983e+13
4097.0894 9.1983e+13 9.1983e+13
4097.0999 9.1984e+13 9.1984e+13
4097.1105 9.1984e+13 9.1984e+13
4097.1211 9.1985e+13 9.1985e+13
4097.1316 9.1985e+13 9.1985e+13
4097.1422 9.1986e+13 9.1986e+13
4097.1528 9.1986e+13 9.1986e+13
4097.1633 9.1987e+13 9.1987e+13
4097.1739 9.1987e+13 9.1987e+13
4097.1844 9.1988e+13 9.1988e+13
4097.1950 9.1988e+13 9.1988e+13
4097.2056 9.1989e+13 9.1989e+13
4097.2161 9.1989e+13 9.1989e+13
4097.2267 9.1990e+13 9.1990e+13
4097.2373 9.1990e+13 9.1990e+13
4097.2478 9.1991e+13 9.1990e+13
4097.2584 9.1991e+13 9.1991e+13
4097.2689 9.1992e+13 9.1991e+13
4097.2795 9.1992e+13 9.1992e+13
4097.2901 9.1992e+13 9.1992e+13
4097.3006 9.1993e+13 9.1993e+13
4097.3112 9.1993e+13 9.1993e+13
4097.3218 9.1994e+13 9.1994e+13
4097.3323 9.1994e+13 9.1994e+13
4097.3429 9.1995e+13 9.1995e+13
4097.3534 9.1995e+13 9.1995e+13
4097.3640 9.1996e+13 9.1996e+13
4097.3746 9.1996e+13 9.1996e+13
4097.3851 9.1997e+13 9.1997e+13
4097.3957 9.1997e+13 9.1997e+13
4097.4063 9.1998e+13 9.1998e+13
4097.4168 9.1998e+13 9.1998e+13
4097.4274 9.1999e+13 9.1999e+13
4097.4379 9.1999e+13 9.1999e+13
4097.4485 9.2000e+13 9.2000e+13
4097.4591 9.2000e+13 9.2000e+13
4097.4696 9.2001e+13 9.2001e+13
4097.4802 9.2001e+13 9.2001e+13
4097.4908 9.2002e+13 9.2002e+13
4097.5013 9.2002e+13 9.2002e+13
4097.5119 9.2003e+13 9.2003e+13
4097.5224 9.2003e+13 9.2003e+13
4097.5330 9.2004e+13 9.2003e+13
4097.5436 9.2004e+13 9.2004e+13
4097.5541 9.2005e+13 9.2004e+13
4097.5647 9.2005e+13 9.2005e+13
4097.5753 9.2005e+13 9.2005e+13
4097.5858 9.2006e+13 9.2006e+13
4097.5964 9.2006e+13 9.2006e+13
4097.6069 9.2007e+13 9.2007e+13
4097.6175 9.2007e+13 9.2007e+13
4097.6281 9.2008e+13 9.2008e+13
4097.6386 9.2008e+13 9.2008e+13
4097.6492 9.2009e+13 9.2009e+13
4097.6598 9.2009e+13 9.2009e+13
4097.6703 9.2010e+13 9.2010e+13
4097.6809 9.2010e+13 9.2010e+13
4097.6915 9.2011e+13 9.2011e+13
4097.7020 9.2011e+13 9.2011e+13
4097.7126 9.2012e+13 9.2012e+13
4097.7231 9.2012e+13 9.2012e+13
4097.7337 9.2013e+13 9.2013e+13
4097.7443 9.2013e+13 9.2013e+13
4097.7548 9.2014e+13 9.2014e+13
