# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4333.6954 6.8494e+14 5.7679e+14
4333.7087 6.8494e+14 5.7674e+14
4333.7219 6.8494e+14 5.7668e+14
4333.7351 6.8494e+14 5.7662e+14
4333.7483 6.8494e+14 5.7657e+14
4333.7616 6.8494e+14 5.7651e+14
4333.7748 6.8494e+14 5.7646e+14
4333.7880 6.8494e+14 5.7640e+14
4333.8012 6.8494e+14 5.7635e+14
4333.8145 6.8494e+14 5.7629e+14
4333.8277 6.8494e+14 5.7624e+14
4333.8409 6.8494e+14 5.7618e+14
4333.8541 6.8494e+14 5.7613e+14
4333.8674 6.8494e+14 5.7607e+14
4333.8806 6.8494e+14 5.7602e+14
4333.8938 6.8494e+14 5.7596e+14
4333.9070 6.8494e+14 5.7591e+14
4333.9203 6.8493e+14 5.7585e+14
4333.9335 6.8493e+14 5.7580e+14
4333.9467 6.8493e+14 5.7574e+14
4333.9599 6.8493e+14 5.7569e+14
4333.9732 6.8493e+14 5.7563e+14
4333.9864 6.8493e+14 5.7558e+14
4333.9996 6.8493e+14 5.7553e+14
4334.0128 6.8493e+14 5.7547e+14
4334.0261 6.8493e+14 5.7542e+14
4334.0393 6.8493e+14 5.7536e+14
4334.0525 6.8493e+14 5.7531e+14
4334.0657 6.8493e+14 5.7525e+14
4334.0790 6.8493e+14 5.7520e+14
4334.0922 6.8493e+14 5.7515e+14
4334.1054 6.8493e+14 5.7509e+14
4334.1186 6.8493e+14 5.7504e+14
4334.1319 6.8493e+14 5.7498e+14
4334.1451 6.8493e+14 5.7493e+14
4334.1583 6.8493e+14 5.7488e+14
4334.1716 6.8493e+14 5.7482e+14
4334.1848 6.8493e+14 5.7477e+14
4334.1980 6.8493e+14 5.7472e+14
4334.2112 6.8492e+14 5.7466e+14
4334.2245 6.8492e+14 5.7461e+14
4334.2377 6.8492e+14 5.7456e+14
4334.2509 6.8492e+14 5.7450e+14
4334.2641 6.8492e+14 5.7445e+14
4334.2774 6.8492e+14 5.7440e+14
4334.2906 6.8492e+14 5.7434e+14
4334.3038 6.8492e+14 5.7429e+14
4334.3170 6.8492e+14 5.7424e+14
4334.3303 6.8492e+14 5.7418e+14
4334.3435 6.8492e+14 5.7413e+14
4334.3567 6.8492e+14 5.7408e+14
4334.3699 6.8492e+14 5.7402e+14
4334.3832 6.8492e+14 5.7397e+14
4334.3964 6.8492e+14 5.7392e+14
4334.4096 6.8492e+14 5.7387e+14
4334.4228 6.8492e+14 5.7381e+14
4334.4361 6.8492e+14 5.7376e+14
4334.4493 6.8492e+14 5.7371e+14
4334.4625 6.8492e+14 5.7366e+14
4334.4757 6.8492e+14 5.7360e+14
4334.4890 6.8492e+14 5.7355e+14
4334.5022 6.8492e+14 5.7350e+14
4334.5154 6.8491e+14 5.7345e+14
4334.5286 6.8491e+14 5.7340e+14
4334.5419 6.8491e+14 5.7334e+14
4334.5551 6.8491e+14 5.7329e+14
4334.5683 6.8491e+14 5.7324e+14
4334.5815 6.8491e+14 5.7319e+14
4334.5948 6.8491e+14 5.7314e+14
4334.6080 6.8491e+14 5.7309e+14
4334.6212 6.8491e+14 5.7303e+14
4334.6344 6.8491e+14 5.7298e+14
4334.6477 6.8491e+14 5.7293e+14
4334.6609 6.8491e+14 5.7288e+14
4334.6741 6.8491e+14 5.7283e+14
4334.6873 6.8491e+14 5.7278e+14
4334.7006 6.8491e+14 5.7273e+14
4334.7138 6.8491e+14 5.7268e+14
4334.7270 6.8491e+14 5.7263e+14
4334.7403 6.8491e+14 5.7257e+14
4334.7535 6.8491e+14 5.7252e+14
4334.7667 6.8491e+14 5.7247e+14
4334.7799 6.8491e+14 5.7242e+14
4334.7932 6.8491e+14 5.7237e+14
4334.8064 6.8490e+14 5.7232e+14
4334.8196 6.8490e+14 5.7227e+14
4334.8328 6.8490e+14 5.7222e+14
4334.8461 6.8490e+14 5.7217e+14
4334.8593 6.8490e+14 5.7212e+14
4334.8725 6.8490e+14 5.7207e+14
4334.8857 6.8490e+14 5.7202e+14
4334.8990 6.8490e+14 5.7197e+14
4334.9122 6.8490e+14 5.7192e+14
4334.9254 6.8490e+14 5.7187e+14
4334.9386 6.8490e+14 5.7182e+14
4334.9519 6.8490e+14 5.7177e+14
4334.9651 6.8490e+14 5.7172e+14
4334.9783 6.8490e+14 5.7167e+14
4334.9915 6.8490e+14 5.7162e+14
4335.0048 6.8490e+14 5.7157e+14
4335.0180 6.8490e+14 5.7152e+14
4335.0312 6.8490e+14 5.7147e+14
4335.0444 6.8490e+14 5.7142e+14
